epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.6075409463148317,0.6557225536172014,0.6347336065573771,0.6263612938708947
1,0.6625341219290264,0.6096308413855698,0.680327868852459,0.5746324648622607
2,0.6592356687898089,0.5979621656598342,0.6329048844413463,0.6393265270635218
3,0.676580982711556,0.5851495414836717,0.6582991803278688,0.5910544888895066
4,0.6736806187443131,0.5819923683553527,0.671979434454962,0.5869044188668612
5,0.6800500454959054,0.5779973063770482,0.6782786885245902,0.6444645238215806
6,0.681869881710646,0.5715058657719505,0.6724935733567167,0.5890945671456639
7,0.6834053685168335,0.5755367238918578,0.6782786885245902,0.5741115380994609
8,0.6857370336669699,0.5647470048604172,0.6844262295081968,0.5664656474942067
9,0.6880118289353958,0.5682330472399909,0.6843187661587732,0.5656205896853175
10,0.6918221110100091,0.5606664510560752,0.6962090163934426,0.5610203503585253
11,0.6898885350318471,0.5629936370174922,0.6817480720100795,0.5706943030988649
12,0.6951774340309372,0.5566649700534463,0.6813524590163934,0.5787361569580485
13,0.6906278434940856,0.5572388516544102,0.6971722365345011,0.5444957104317634
14,0.6938694267515924,0.5574725980483152,0.6762295081967213,0.5906271233421857
15,0.6971678798908099,0.5517768959385141,0.6839139344262295,0.5616958686074273
16,0.6938125568698817,0.5565281773123337,0.6894601543029354,0.5652890997251692
