epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.6784576888080073,0.5929322736278461,0.6941598360655737,0.5688547440728203
1,0.711188254040519,0.5502613533908133,0.7204744713769985,0.5315895504776874
2,0.7194969269292055,0.5409248316041055,0.7111913357708121,0.5399521625244845
3,0.7258707033917596,0.5307080699294134,0.7235688499533804,0.5386988576568852
4,0.7275210562258138,0.523045759991527,0.7240845796802475,0.5263802823430487
5,0.7346346460277715,0.5184251689948879,0.7421351212272329,0.5099050260623009
6,0.7403824265877532,0.5109792049154182,0.7441980402422911,0.5087144583571258
7,0.7394718870931026,0.509139416936506,0.7354306343629718,0.5218472344903616
8,0.7445936717505122,0.5040392299841402,0.7302733368022716,0.5250629149281284
9,0.7415206009560664,0.5052357647214369,0.743682310500054,0.4989268921158128
10,0.7492601866605964,0.49826290983695687,0.7354306343476018,0.5090675934142461
11,0.7500569087184157,0.49527374122290957,0.7266632284682826,0.5251250669241043
12,0.7474391076712953,0.49650093551488556,0.7488396080761242,0.5025696780277074
13,0.7526747097655361,0.49318520555511414,0.7539969056368243,0.5099772217041318
14,0.7540405190075119,0.490989045811329,0.7390407426662209,0.5054240592550284
15,0.7525039836102891,0.49124099231108215,0.739040742650851,0.5076021529645758
16,0.7505690871841566,0.4884187912590922,0.7369778236357929,0.5207245442718498
17,0.7519348964261325,0.4879539877060956,0.7246003094685944,0.5151865589305136
18,0.7559185067152288,0.48686418350427263,0.7354306343476018,0.5141043582486393
19,0.7560323241520601,0.48481958424776367,0.7333677153479137,0.5083864337700799
20,0.7590484862280902,0.480956835625195,0.7457452294997421,0.5128443309361939
21,0.757568859549283,0.4815829189877127,0.7488396080453842,0.5201110584087874
22,0.7602435693148191,0.48142275989611927,0.7400722021814349,0.5091736565674009
23,0.7590484862280902,0.4807855397049018,0.7436823104693141,0.511185780928392
24,0.760585021625313,0.4776287631485963,0.739556472408458,0.5036128262089601
25,0.7616662872752106,0.4747684563709613,0.7452294997421351,0.5296744061091193
26,0.7629751877987708,0.4759832874276278,0.7318205260750926,0.5532905848878386
27,0.7634873662645117,0.47486555851756806,0.7503867973489452,0.49948985521912637
28,0.7653084452538129,0.473231016721211,0.7385250128932439,0.5142280659520669
29,0.7621215570225358,0.4732229997133194,0.7297576070292946,0.5193836213756677
30,0.7629182790803551,0.47207541942542164,0.7220216606805594,0.5252048382751716
31,0.7661620760300478,0.4704127135999703,0.7297576070292946,0.5224249774245272
