epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.549557098395978,0.6888085096567933,0.5708131394722671,0.678749872589214
1,0.6165310031122816,0.6540750998299973,0.6472805600430802,0.6160396793290499
2,0.659384725879818,0.6065669678916822,0.6989768443726441,0.5810844139444231
3,0.6864974862341393,0.5858718973328287,0.7065158858373721,0.5672353954005768
4,0.6952956667464688,0.5735699428392136,0.7065158858373721,0.5665874726905833
5,0.6979291357433565,0.5675114598147516,0.7059773828756059,0.5590974623372494
6,0.7031362221690208,0.5609880143556693,0.711900915455035,0.5550945743509179
7,0.7101388556380177,0.5549990458011285,0.6941303177167475,0.558773015767705
8,0.714627723246349,0.548473176714733,0.7086698976844372,0.5550726056660641
9,0.7194158486952358,0.5447152226571121,0.711900915455035,0.5477908211782792
