epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.6906278434940856,0.779837772372205,0.7418032786885246,0.5460903965791718
1,0.727112375540211,0.552567024878723,0.7411036616812791,0.5194974926681233
2,0.7284210526349704,0.5356940248629786,0.7302733368022716,0.5231490945188946
3,0.7380369843527739,0.5350969794820756,0.7436823104693141,0.5450025808417717
4,0.7407681365643931,0.5244233656166967,0.7436823104693141,0.5271007504166249
5,0.7427027027077898,0.5211398849955324,0.743682310500054,0.5193073897401103
6,0.7448648648716477,0.5200465986789714,0.7462609592727191,0.5072443412713872
7,0.7429871977308227,0.5137080750933413,0.7503867973489452,0.5372462548380847
8,0.7490753911840458,0.507902151246159,0.7483238782877772,0.49824419763667366
9,0.7487339971618326,0.5136415811673676,0.7313047963021156,0.6325626131675488
10,0.7518065433888822,0.5155734997775782,0.7488396080453842,0.5844798239083435
11,0.7511806543487234,0.5124555114594157,0.7349149045899949,0.6023868409212623
12,0.7465718349962791,0.515943764600781,0.74780814856091,0.4966472314152907
13,0.7524893314400913,0.511776327237296,0.7524497163640033,0.5933534170377495
14,0.751863442396541,0.5155054197202875,0.7364620938781858,0.5290503258739567
15,0.7518065433956651,0.5098911707533542,0.7472924187725631,0.49494911640375283
16,0.7533428165041027,0.5107077547920548,0.7359463641205788,0.5776619585043625
17,0.7551066856363928,0.5130749651734554,0.743682310484684,0.5983567455492418
18,0.7555618776705323,0.5085569215210878,0.745229499772875,0.6245714382697406
19,0.7495305832198809,0.5243119190258119,0.746260959288089,0.7020654918115861
20,0.7517496443846148,0.5202019932582063,0.739040742650851,0.6773092359258318
21,0.7549928876312495,0.5150378044723277,0.7297576070139247,0.7660052761274124
22,0.7551066856431757,0.5174133577862301,0.7488396080607541,0.5205040932808296
